cast_id,cast_name,gender,movie_id,k_role,is_main_cast,index,id,k_title,k_type,k_release_date,k_region,k_movie_year,k_genres,is_rating,rating_num,rating_people,k_rating_people,rating_index,k_movie_id,k_cast_id,uid,portray,movie_id_m,cast_role_agg,main_cast
27487827,马文忠,男,34792295,演员,是,45,34792295,乔家的儿女,电视剧,2021-08-17,中国大陆,2021,剧情/家庭,有评分,7.7,235622,235622,1347,69584639,54975703,76,马毓霖,m69584639,演员,"白宇, 宋祖儿, 毛晓彤, 张晚意, 周翊然"
27547752,朱珠,女,34792295,演员,是,15,34792295,乔家的儿女,电视剧,2021-08-17,中国大陆,2021,剧情/家庭,有评分,7.7,235622,235622,1347,69584639,55095553,77,马素芹,m69584639,演员,"白宇, 宋祖儿, 毛晓彤, 张晚意, 周翊然"
27547625,松峰莉璃,女,25994712,演员,是,12,25994712,伪装者,电视剧,2015-08-31,中国大陆,2015,剧情/悬疑,有评分,8.6,382758,382758,1814,51989473,55095299,78,南田洋子,m51989473,演员,"胡歌, 靳东, 刘敏涛, 王凯, 宋轶"
27481022,陈洁,女,36534750,演员,否,999,36534750,小巷人家,电视剧,2024-10-28,中国大陆,2024,剧情/家庭,有评分,8.4,287902,287902,1555,73069549,54962093,79,工作人员甲,m73069549,演员,"闫妮, 李光洁, 郭晓东, 蒋欣, 范丞丞"
27484212,洛葳,女,36534750,演员,否,999,36534750,小巷人家,电视剧,2024-10-28,中国大陆,2024,剧情/家庭,有评分,8.4,287902,287902,1555,73069549,54968473,80,李佳妈,m73069549,演员,"闫妮, 李光洁, 郭晓东, 蒋欣, 范丞丞"
27481070,严晓频,女,35613241,演员,是,35,35613241,县委大院,电视剧,2022-12-07,中国大陆,2022,剧情,有评分,6.8,109693,109693,864,71226531,54962189,81,刘巧珍,m71226531,演员,"胡歌, 吴越, 张新成, 黄磊, 李光洁"
27481070,严晓频,女,34792298,演员,是,10,34792298,相逢时节,电视剧,2022-02-23,中国大陆,2022,剧情,有评分,4.9,33169,33169,403,69584645,54962189,82,宁惠,m69584645,演员,"雷佳音, 袁泉, 张艺兴, 贾乃亮, 罗海琼"
27481307,郎峰,男,35033654,演员,否,999,35033654,山海情,电视剧,2021-01-12,中国大陆,2021,剧情,有评分,9.2,481571,481571,2105,70067357,54962663,84,福建工厂老板,m70067357,演员,"黄轩, 张嘉益, 闫妮, 黄觉, 姚晨"
27558276,姚惠如,女,25870290,演员,是,37,25870290,温州两家人,电视剧,2015-11-26,中国大陆,2015,剧情,有评分,7.8,7118,7118,236,51740629,55116601,86,侯母,m51740629,演员,"郭涛, 任程伟, 袁咏仪, 陈丽娜, 刘奕君"
27495129,王伯昭,男,30423905,演员,是,36,30423905,大江大河2,电视剧,2020-12-20,中国大陆,2020,剧情/历史,有评分,8.7,208072,208072,1345,60847859,54990307,87,李耘宁,m60847859,演员,"王凯, 杨烁, 董子健, 杨采钰, 周放"
